state,senate_class,special
AZ,I,false
CA,I,false
CT,I,false
DE,I,false
HI,I,false
IN,I,false
MA,I,false
MD,I,false
ME,I,false
MN,I,false
MO,I,false
MS,I,false
MT,I,false
ND,I,false
FL,I,false
MI,I,false
NE,I,false
NJ,I,false
NM,I,false
NV,I,false
NY,I,false
OH,I,false
PA,I,false
RI,I,false
TN,I,false
TX,I,false
UT,I,false
VA,I,false
VT,I,false
WA,I,false
WI,I,false
WV,I,false
WY,I,false
