state,office,incumbent,incumbent_party
MO,governor,"Parson, Mike",gop
MO,lieutenant-governor,"Kehoe, Mike",gop
MO,attorney-general,"Schmitt, Eric",gop
MO,secretary-of-state,"Ashcroft, Jay",gop
MO,treasurer,"Fitzpatrick, Scott",gop
