state,office,incumbent,incumbent_party
WV,governor,"Justice, Jim",gop
WV,attorney-general,"Morrisey, Patrick",gop
WV,secretary-of-state,"Warner, Mac",gop
WV,treasurer,"Perdue, John",dem
WV,auditor,"McCuskey, J.B.",gop
WV,agriculture-commissioner,"Leonhardt, Kent",gop
