state,office,incumbent,incumbent_party
VT,governor,"Scott, Phil",gop
VT,lieutenant-governor,"Zuckerman, David",vtp
VT,secretary-of-state,"Condos, James C.",dem
VT,auditor,"Hoffer, Doug",dem
VT,attorney-general,"Donovan, T.J.",dem
VT,treasurer,"Pearce, Beth",dem
