state,district,special,incumbent,incumbent_party
CA,40,FALSE,"Roybal-Allard, Lucille",dem
CA,41,FALSE,"Takano, Mark",dem
CA,42,FALSE,"Calvert, Ken",gop
CA,43,FALSE,"Waters, Maxine",dem
CA,44,FALSE,"Barragan, Nanette",dem
CA,45,FALSE,"Walters, Mimi",gop
CA,46,FALSE,"Correa, Lou",dem
CA,47,FALSE,"Lowenthal, Alan",dem
CA,48,FALSE,"Rohrabacher, Dana",gop
CA,49,FALSE,"Issa, Darrell",gop
CA,50,FALSE,"Hunter, Duncan",gop
CA,51,FALSE,"Vargas, Juan",dem
CA,52,FALSE,"Peters, Scott",dem
CA,53,FALSE,"Davis, Susan",dem
CO,1,FALSE,"DeGette, Diana",dem
CO,2,FALSE,"Polis, Jared",dem
CO,3,FALSE,"Tipton, Scott",gop
CO,4,FALSE,"Buck, Ken",gop
CO,5,FALSE,"Lamborn, Doug",gop
CO,6,FALSE,"Coffman, Mike",gop
CO,7,FALSE,"Perlmutter, Ed",dem
CT,1,FALSE,"Larson, John",dem
CT,2,FALSE,"Courtney, Joe",dem
CT,3,FALSE,"DeLauro, Rosa",dem
CT,4,FALSE,"Himes, Jim",dem
CT,5,FALSE,"Esty, Elizabeth",dem
DE,,FALSE,"Blunt Rochester, Lisa",dem
FL,1,FALSE,"Gaetz, Matt",gop
FL,2,FALSE,"Dunn, Neal",gop
FL,3,FALSE,"Yoho, Ted",gop
FL,4,FALSE,"Rutherford, John",gop
FL,5,FALSE,"Lawson, Al",dem
FL,6,FALSE,"Cloud, Michael",gop
FL,7,FALSE,"Murphy, Stephanie",dem
FL,8,FALSE,"Posey, Bill",gop
FL,9,FALSE,"Soto, Darren",dem
FL,10,FALSE,"Demings, Val",dem
FL,11,FALSE,"Webster, Dan",gop
FL,12,FALSE,"Bilirakis, Gus",gop
FL,13,FALSE,"Crist, Charlie",dem
FL,14,FALSE,"Castor, Kathy",dem
FL,15,FALSE,"Ross, Dennis",gop
FL,16,FALSE,"Buchanan, Vern",gop
FL,17,FALSE,"Rooney, Tom",gop
FL,18,FALSE,"Mast, Brian",gop
FL,19,FALSE,"Rooney, Francis",gop
FL,20,FALSE,"Hastings, Alcee",dem
FL,21,FALSE,"Frankel, Lois",dem
FL,22,FALSE,"Deutch, Ted",dem
FL,23,FALSE,"Wasserman Schultz, Debbie",dem
FL,24,FALSE,"Wilson, Frederica",dem
FL,25,FALSE,"Diaz-Balart, Mario",gop
FL,26,FALSE,"Curbelo, Carlos",gop
FL,27,FALSE,"Ros-Lehtinen, Ileana",gop
GA,1,FALSE,"Carter, Buddy",gop
GA,2,FALSE,"Bishop, Sanford",dem
GA,3,FALSE,"Ferguson, Drew",gop
GA,4,FALSE,"Johnson, Hank",dem
GA,5,FALSE,"Lewis, John",dem
GA,6,FALSE,"Handel, Karen",gop
GA,7,FALSE,"Woodall, Rob",gop
GA,8,FALSE,"Scott, Austin",gop
GA,9,FALSE,"Collins, Doug",gop
GA,10,FALSE,"Hice, Jodi",gop
GA,11,FALSE,"Loudermilk, Barry",gop
GA,12,FALSE,"Allen, Rick",gop
GA,13,FALSE,"Scott, David",dem
GA,14,FALSE,"Graves, Tom",gop
HI,1,FALSE,"Hanabusa, Colleen",dem
HI,2,FALSE,"Gabbard, Tulsi",dem
IA,1,FALSE,"Blum, Rod",gop
IA,2,FALSE,"Loebsack, David",dem
IA,3,FALSE,"Young, David",gop
IA,4,FALSE,"King, Steve",gop
ID,1,FALSE,"Labrador, Raul",gop
ID,2,FALSE,"Simpson, Mike",gop
IL,1,FALSE,"Rush, Bobby",dem
IL,2,FALSE,"Kelly, Robin",dem
IL,3,FALSE,"Lipinski, Dan",dem
IL,4,FALSE,"Gutierrez, Luis",dem
IL,5,FALSE,"Quigley, Mike",dem
IL,6,FALSE,"Roskam, Peter",gop
IL,7,FALSE,"Davis, Danny",dem
IL,8,FALSE,"Krishnamoorthi, Raja",dem
IL,9,FALSE,"Schakowsky, Jan",dem
IL,10,FALSE,"Schneider, Brad",dem
IL,11,FALSE,"Foster, Bill",dem
IL,12,FALSE,"Bost, Mike",gop
IL,13,FALSE,"Davis, Rodney",gop
IL,14,FALSE,"Hultgren, Randy",gop
IL,15,FALSE,"Shimkus, John",gop
IL,16,FALSE,"Kinzinger, Adam",gop
IL,17,FALSE,"Bustos, Cheri",dem
IL,18,FALSE,"LaHood, Darin",gop
IN,1,FALSE,"Visclosky, Pete",dem
IN,2,FALSE,"Walorski, Jackie",gop
IN,3,FALSE,"Banks, Jim",gop
IN,4,FALSE,"Rokita, Todd",gop
IN,5,FALSE,"Brooks, Susan",gop
IN,6,FALSE,"Messer, Luke",gop
IN,7,FALSE,"Carson, Andre",dem
IN,8,FALSE,"Bucshon, Larry",gop
IN,9,FALSE,"Hollingsworth, Trey",gop
KS,1,FALSE,"Marshall, Roger",gop
KS,2,FALSE,"Jenkins, Lynn",gop
KS,3,FALSE,"Yoder, Kevin",gop
KS,4,FALSE,"Estes, Ron",gop
KY,1,FALSE,"Comer, James",gop
KY,2,FALSE,"Guthrie, Brett",gop
KY,3,FALSE,"Yarmuth, John",dem
KY,4,FALSE,"Massie, Thomas",gop
KY,5,FALSE,"Rogers, Hal",gop
KY,6,FALSE,"Barr, Andy",gop
LA,1,FALSE,"Scalise, Steve",gop
LA,2,FALSE,"Richmond, Cedric",dem
LA,3,FALSE,"Higgins, Clay",gop
LA,4,FALSE,"Johnson, Mike",gop
LA,5,FALSE,"Abraham, Ralph",gop
LA,6,FALSE,"Graves, Garret",gop
MA,1,FALSE,"Neal, Richard",dem
MA,2,FALSE,"McGovern, Jim",dem
MA,3,FALSE,"Tsongas, Niki",dem
MA,4,FALSE,"Kennedy, Joe",dem
MA,5,FALSE,"Clark, Katherine",dem
MA,6,FALSE,"Moulton, Seth",dem
MA,7,FALSE,"Capuano, Mike",dem
MA,8,FALSE,"Lynch, Stephen",dem
MA,9,FALSE,"Keating, Bill",dem
MD,1,FALSE,"Harris, Andy",gop
MD,2,FALSE,"Ruppersberger, Dutch",dem
MD,3,FALSE,"Sarbanes, John",dem
MD,4,FALSE,"Brown, Anthony",dem
MD,5,FALSE,"Hoyer, Steny",dem
MD,6,FALSE,"Delaney, John",dem
MD,7,FALSE,"Cummings, Elijah",dem
MD,8,FALSE,"Raskin, Jamie",dem
ME,1,FALSE,"Pingree, Chellie",dem
ME,2,FALSE,"Poliquin, Bruce",gop
MI,1,FALSE,"Bergman, Jack",gop
MI,2,FALSE,"Huizenga, Bill",gop
MI,3,FALSE,"Amash, Justin",gop
MI,4,FALSE,"Moolenaar, John",gop
MI,5,FALSE,"Kildee, Dan",dem
MI,6,FALSE,"Upton, Fred",gop
MI,7,FALSE,"Walberg, Tim",gop
MI,8,FALSE,"Bishop, Mike",gop
MI,9,FALSE,"Levin, Sander",dem
MI,10,FALSE,"Mitchell, Paul",gop
MI,11,FALSE,"Trott, Dave",gop
MI,12,FALSE,"Dingell, Debbie",dem
MI,13,FALSE,,dem
MI,14,FALSE,"Lawrence, Brenda",dem
MN,1,FALSE,"Walz, Tim",dem
MN,2,FALSE,"Lewis, Jason",gop
MN,3,FALSE,"Paulsen, Erik",gop
MN,4,FALSE,"McCollum, Betty",dem
MN,5,FALSE,"Ellison, Keith",dem
MN,6,FALSE,"Emmer, Tom",gop
MN,7,FALSE,"Peterson, Collin",dem
MN,8,FALSE,"Nolan, Rick",dem
MO,1,FALSE,"Clay, Lacy",dem
MO,2,FALSE,"Wagner, Ann",gop
MO,3,FALSE,"Luetkemeyer, Blaine",gop
MO,4,FALSE,"Hartzler, Vicki",gop
MO,5,FALSE,"Cleaver, Emanuel",dem
MO,6,FALSE,"Graves, Sam",gop
MO,7,FALSE,"Long, Billy",gop
MO,8,FALSE,"Smith, Jason",gop
MS,1,FALSE,"Kelly, Trent",gop
MS,2,FALSE,"Thompson, Bennie",dem
MS,3,FALSE,"Harper, Gregg",gop
MS,4,FALSE,"Palazzo, Steven",gop
MT,,FALSE,"Gianforte, Greg",gop
NC,1,FALSE,"Butterfield, G.K.",dem
NC,2,FALSE,"Holding, George",gop
NC,3,FALSE,"Jones, Walter",gop
NC,4,FALSE,"Price, David",dem
NC,5,FALSE,"Foxx, Virginia",gop
NC,6,FALSE,"Walker, Mark",gop
NC,7,FALSE,"Rouzer, David",gop
NC,8,FALSE,"Hudson, Richard",gop
NC,9,FALSE,"Pittenger, Robert",gop
NC,10,FALSE,"McHenry, Patrick",gop
NC,11,FALSE,"Meadows, Mark",gop
NC,12,FALSE,"Adams, Alma",dem
NC,13,FALSE,"Budd, Ted",gop
ND,,FALSE,"Cramer, Kevin",gop
NE,1,FALSE,"Fortenberry, Jeff",gop
NE,2,FALSE,"Bacon, Don",gop
NE,3,FALSE,"Smith, Adrian",gop
NH,1,FALSE,"Shea-Porter, Carol",dem
NH,2,FALSE,"Kuster, Annie",dem
NJ,1,FALSE,"Norcross, Donald",dem
NJ,2,FALSE,"LoBiondo, Frank",gop
NJ,3,FALSE,"MacArthur, Tom",gop
NJ,4,FALSE,"Smith, Chris",gop
NJ,5,FALSE,"Gottheimer, Josh",dem
NJ,6,FALSE,"Pallone, Frank",dem
NJ,7,FALSE,"Lance, Leonard",gop
NJ,8,FALSE,"Sires, Albio",dem
NJ,9,FALSE,"Pascrell, Bill",dem
NJ,10,FALSE,"Payne, Donald",dem
NJ,11,FALSE,"Frelinghuysen, Rodney",gop
NJ,12,FALSE,"Watson Coleman, Bonnie",dem
NM,1,FALSE,"Lujan Grisham, Michelle",dem
NM,2,FALSE,"Pearce, Steve",gop
NM,3,FALSE,"Lujan, Ben",dem
NV,2,FALSE,"Titus, Dina",dem
NV,1,FALSE,"Amodei, Mark",gop
NV,3,FALSE,"Rosen, Jacky",dem
NV,4,FALSE,"Kihuen, Ruben",dem
NY,1,FALSE,"Zeldin, Lee",gop
NY,2,FALSE,"King, Peter",gop
NY,3,FALSE,"Suozzi, Tom",dem
NY,4,FALSE,"Rice, Kathleen",dem
NY,5,FALSE,"Meeks, Gregory",dem
NY,6,FALSE,"Meng, Grace",dem
NY,7,FALSE,"Velazquez, Nydia",dem
NY,8,FALSE,"Jeffries, Hakeem",dem
NY,9,FALSE,"Clarke, Yvette",dem
NY,10,FALSE,"Nadler, Jerrold",dem
NY,11,FALSE,"Donovan, Dan",gop
NY,12,FALSE,"Maloney, Carolyn",dem
NY,13,FALSE,"Espaillat, Adriano",dem
NY,14,FALSE,"Crowley, Joe",dem
NY,15,FALSE,"Serrano, Jose",dem
NY,16,FALSE,"Engel, Eliot",dem
NY,17,FALSE,"Lowey, Nita",dem
NY,18,FALSE,"Maloney, Sean",dem
NY,19,FALSE,"Faso, John",gop
NY,20,FALSE,"Tonko, Paul",dem
NY,21,FALSE,"Stefanik, Elise",gop
NY,22,FALSE,"Tenney, Claudia",gop
NY,23,FALSE,"Reed, Tom",gop
NY,24,FALSE,"Katko, John",gop
NY,25,FALSE,"Slaughter, Louise",dem
NY,26,FALSE,"Higgins, Brian",dem
NY,27,FALSE,"Collins, Chris",gop
OH,1,FALSE,"Chabot, Steve",gop
OH,2,FALSE,"Wenstrup, Brad",gop
OH,3,FALSE,"Beatty, Joyce",dem
OH,4,FALSE,"Jordan, Jim",gop
OH,5,FALSE,"Latta, Bob",gop
OH,6,FALSE,"Johnson, Bill",gop
OH,7,FALSE,"Gibbs, Bob",gop
OH,8,FALSE,"Davidson, Warren",gop
OH,9,FALSE,"Kaptur, Marcy",dem
OH,10,FALSE,"Turner, Michael",gop
OH,11,FALSE,"Fudge, Marcia",dem
OH,12,FALSE,"Balderson, Troy",gop
OH,13,FALSE,"Ryan, Tim",dem
OH,14,FALSE,"Joyce, David",gop
OH,15,FALSE,"Stivers, Steve",gop
OH,16,FALSE,"Renacci, Jim",gop
OK,1,FALSE,,gop
OK,2,FALSE,"Mullin, Markwayne",gop
OK,3,FALSE,"Lucas, Frank",gop
OK,4,FALSE,"Cole, Tom",gop
OK,5,FALSE,"Russell, Steve",gop
OR,1,FALSE,"Bonamici, Suzanne",dem
OR,2,FALSE,"Walden, Greg",gop
OR,3,FALSE,"Blumenauer, Earl",dem
OR,4,FALSE,"DeFazio, Peter",dem
OR,5,FALSE,"Schrader, Kurt",dem
PA,1,FALSE,"Brady, Bob",dem
PA,2,FALSE,"Evans, Dwight",dem
PA,3,FALSE,"Kelly, Mike",gop
PA,4,FALSE,"Perry, Scott",gop
PA,5,FALSE,"Thompson, Glenn",gop
PA,6,FALSE,"Costello, Ryan",gop
PA,7,FALSE,"Meehan, Pat",gop
PA,8,FALSE,"Fitzpatrick, Brian",gop
PA,9,FALSE,"Schuster, Bill",gop
PA,10,FALSE,"Marino, Tom",gop
PA,11,FALSE,"Barletta, Lou",gop
PA,12,FALSE,"Rothfus, Keith",gop
PA,13,FALSE,"Boyle, Brendan",dem
PA,14,FALSE,"Doyle, Michael",dem
PA,15,FALSE,"Dent, Charlie",gop
PA,16,FALSE,"Smucker, Lloyd",gop
PA,17,FALSE,"Cartwright, Matt",dem
PA,18,FALSE,,gop
RI,1,FALSE,"Cicilline, David",dem
RI,2,FALSE,"Langevin, Jim",dem
SC,1,FALSE,"Sanford, Mark",gop
SC,2,FALSE,"Wilson, Joe",gop
SC,3,FALSE,"Duncan, Jeff",gop
SC,4,FALSE,"Gowdy, Trey",gop
SC,5,FALSE,"Norman, Ralph",gop
SC,6,FALSE,"Clyburn, Jim",dem
SC,7,FALSE,"Rice, Tom",gop
SD,,FALSE,"Noem, Kristi",gop
TN,1,FALSE,"Roe, Phil",gop
TN,2,FALSE,"Duncan, John",gop
TN,3,FALSE,"Fleischmann, Chuck",gop
TN,4,FALSE,"DesJarlais, Scott",gop
TN,5,FALSE,"Cooper, Jim",dem
TN,6,FALSE,"Black, Diane",gop
TN,7,FALSE,"Blackburn, Marsha",gop
TN,8,FALSE,"Kustoff, David",gop
TN,9,FALSE,"Cohen, Steve",dem
TX,1,FALSE,"Gohmert, Louie",gop
TX,2,FALSE,"Poe, Ted",gop
TX,3,FALSE,"Johnson, Sam",gop
TX,4,FALSE,"Ratcliffe, John",gop
TX,5,FALSE,"Hensarling, Jeb",gop
TX,6,FALSE,"Barton, Joe",gop
TX,7,FALSE,"Culberson, John",gop
TX,8,FALSE,"Brady, Kevin",gop
TX,9,FALSE,"Green, Al",dem
TX,10,FALSE,"McCaul, Michael",gop
TX,11,FALSE,"Conaway, Michael",gop
TX,12,FALSE,"Granger, Kay",gop
TX,13,FALSE,"Thornberry, Mac",gop
TX,14,FALSE,"Weber, Randy",gop
TX,15,FALSE,"Gonzalez, Vicente",dem
TX,16,FALSE,"O'Rourke, Beto",dem
TX,17,FALSE,"Flores, Bill",gop
TX,18,FALSE,"Jackson-Lee, Sheila",dem
TX,19,FALSE,"Arrington, Jodey",gop
TX,20,FALSE,"Castro, Joaquin",dem
TX,21,FALSE,"Smith, Lamar",gop
TX,22,FALSE,"Olson, Pete",gop
TX,23,FALSE,"Hurd, Will",gop
TX,24,FALSE,"Marchant, Kenny",gop
TX,25,FALSE,"Williams, Roger",gop
TX,26,FALSE,"Burgess, Michael",gop
TX,27,FALSE,,gop
TX,28,FALSE,"Cuellar, Henry",dem
TX,29,FALSE,"Green, Gene",dem
TX,30,FALSE,"Johnson, E.B.",dem
TX,31,FALSE,"Carter, John",gop
TX,32,FALSE,"Sessions, Pete",gop
TX,33,FALSE,"Veasey, Marc",dem
TX,34,FALSE,"Vela, Filemon",dem
TX,35,FALSE,"Doggett, Lloyd",dem
TX,36,FALSE,"Babin, Brian",gop
UT,1,FALSE,"Bishop, Rob",gop
UT,2,FALSE,"Stewart, Chris",gop
UT,3,FALSE,"Curtis, John",gop
UT,4,FALSE,"Love, Mia",gop
VA,1,FALSE,"Wittman, Rob",gop
VA,2,FALSE,"Taylor, Scott",gop
VA,3,FALSE,"Scott, Bobby",dem
VA,4,FALSE,"McEachin, Donald",dem
VA,5,FALSE,"Garrett, Tom",gop
VA,6,FALSE,"Goodlatte, Bob",gop
VA,7,FALSE,"Brat, Dave",gop
VA,8,FALSE,"Beyer, Don",dem
VA,9,FALSE,"Griffith, Morgan",gop
VA,10,FALSE,"Comstock, Barbara",gop
VA,11,FALSE,"Connolly, Gerry",dem
VT,,FALSE,"Welch, Peter",dem
WA,2,FALSE,"DelBene, Suzan",dem
WA,1,FALSE,"Larsen, Rick",dem
WA,3,FALSE,"Herrera Beutler, Jaime",gop
WA,4,FALSE,"Newhouse, Dan",gop
WA,5,FALSE,"McMorris Rodgers, Cathy",gop
WA,6,FALSE,"Kilmer, Derek",dem
WA,7,FALSE,"Jayapal, Pramila",dem
WA,8,FALSE,"Reichert, David",gop
WA,9,FALSE,"Smith, Adam",dem
WA,10,FALSE,"Heck, Denny",dem
WI,1,FALSE,"Ryan, Paul",gop
WI,2,FALSE,"Pocan, Mark",dem
WI,3,FALSE,"Kind, Ron",dem
WI,4,FALSE,"Moore, Gwen",dem
WI,5,FALSE,"Sensenbrenner, Jim",gop
WI,6,FALSE,"Grothman, Glenn",gop
WI,7,FALSE,"Duffy, Sean",gop
WI,8,FALSE,"Gallagher, Mike",gop
WV,1,FALSE,"McKinley, David",gop
WV,2,FALSE,"Mooney, Alex",gop
WV,3,FALSE,"Jenkins, Evan",gop
WY,,FALSE,"Cheney, Liz",gop
