state,office,incumbent,incumbent_party
NC,governor,"Cooper, Roy",dem
NC,lieutenant-governor,"Forest, Dan",gop
NC,attorney-general,"Stein, Josh",dem
NC,secretary-of-state,"Marshall, Elaine",dem
NC,treasurer,"Folwell, Dale",gop
NC,superintendent-of-public-instruction,"Johnson, Mark",gop
NC,auditor,"Wood, Beth",dem
NC,agriculture-commissioner,"Troxler, Steve",gop
NC,labor-commissioner,"Berry, Cherie",gop
NC,insurance-commissioner,"Causey, Mike",gop
