state,office,incumbent,incumbent_party
MT,governor,"Bullock, Steve",dem
MT,lieutenant-governor,"Cooney, Mike",dem
MT,secretary-of-state,"Stapleton, Corey",gop
MT,superintendent-of-public-instruction,"Arntzen, Elsie",gop
MT,attorney-general,"Fox, Tim",gop
MT,auditor,"Rosendale, Matt",gop
