state,office,incumbent,incumbent_party
WA,governor,"Inslee, Jay",dem
WA,lieutenant-governor,"Habib, Cyrus",dem
WA,attorney-general,"Ferguson, Bob",dem
WA,secretary-of-state,"Wyman, Kim",gop
WA,superintendent-of-public-instruction,"Reykdal,Chris",dem
WA,commissioner-of-public-lands,"Franz,Hilary",dem
WA,treasurer,"Davidson, Duane",gop
WA,auditor,"McCarthy, Pat",dem
WA,insurance-commissioner,"Kreidler, Mike",dem
