state,election_date,election_polls_open,election_polls_close,election_notes,early_voting_vip_start_date,early_voting_vip_close_date,early_voting_vbm_application_deadline,early_voting_vbm_return_date,early_voting_notes,registration_deadline,registration_online_deadline,registration_notes
AL,2020-11-03,,,,,,,,,,,
AK,2020-11-03,,,,,,,,,,,
AZ,2020-11-03,,,,,,,,,,,
AR,2020-11-03,,,,,,,,,,,
CA,2020-11-03,,,,,,,,,,,
CO,2020-11-03,,,,,,,,,,,
CT,2020-11-03,,,,,,,,,,,
DE,2020-11-03,,,,,,,,,,,
FL,2020-11-03,,,,,,,,,,,
GA,2020-11-03,,,,,,,,,,,
HI,2020-11-03,,,,,,,,,,,
ID,2020-11-03,,,,,,,,,,,
IL,2020-11-03,,,,,,,,,,,
IN,2020-11-03,,,,,,,,,,,
IA,2020-11-03,,,,,,,,,,,
KS,2020-11-03,,,,,,,,,,,
KY,2020-11-03,,,,,,,,,,,
LA,2020-11-03,,,,,,,,,,,
ME,2020-11-03,,,,,,,,,,,
MD,2020-11-03,,,,,,,,,,,
MA,2020-11-03,,,,,,,,,,,
MI,2020-11-03,,,,,,,,,,,
MN,2020-11-03,,,,,,,,,,,
MS,2020-11-03,,,,,,,,,,,
MO,2020-11-03,,,,,,,,,,,
MT,2020-11-03,,,,,,,,,,,
NE,2020-11-03,,,,,,,,,,,
NV,2020-11-03,,,,,,,,,,,
NH,2020-11-03,,,,,,,,,,,
NJ,2020-11-03,,,,,,,,,,,
NM,2020-11-03,,,,,,,,,,,
NY,2020-11-03,,,,,,,,,,,
NC,2020-11-03,,,,,,,,,,,
ND,2020-11-03,,,,,,,,,,,
OH,2020-11-03,,,,,,,,,,,
OK,2020-11-03,,,,,,,,,,,
OR,2020-11-03,,,,,,,,,,,
PA,2020-11-03,,,,,,,,,,,
RI,2020-11-03,,,,,,,,,,,
SC,2020-11-03,,,,,,,,,,,
SD,2020-11-03,,,,,,,,,,,
TN,2020-11-03,,,,,,,,,,,
TX,2020-11-03,,,,,,,,,,,
UT,2020-11-03,,,,,,,,,,,
VT,2020-11-03,,,,,,,,,,,
VA,2020-11-03,,,,,,,,,,,
WA,2020-11-03,,,,,,,,,,,
WV,2020-11-03,,,,,,,,,,,
WI,2020-11-03,,,,,,,,,,,
WY,2020-11-03,,,,,,,,,,,
DC,2020-11-03,,,,,,,,,,,
