state,senate_class,special,incumbent,incumbent_party
AK,III,FALSE,,
AL,III,FALSE,,
AR,III,FALSE,,
AZ,III,FALSE,,
CA,III,FALSE,,
CO,III,FALSE,,
CT,III,FALSE,,
GA,III,FALSE,,
HI,III,FALSE,,
IA,III,FALSE,,
ID,III,FALSE,,
IL,III,FALSE,,
IN,III,FALSE,,
FL,III,FALSE,,
KY,III,FALSE,,
LA,III,FALSE,,
MD,III,FALSE,,
KS,III,FALSE,,
MO,III,FALSE,,
NC,III,FALSE,,
ND,III,FALSE,,
NV,III,FALSE,,
NY,III,FALSE,,
NH,III,FALSE,,
OK,III,FALSE,,
OR,III,FALSE,,
PA,III,FALSE,,
SC,III,FALSE,,
SD,III,FALSE,,
OH,III,FALSE,,
UT,III,FALSE,,
VT,III,FALSE,,
WA,III,FALSE,,
WI,III,FALSE,,
